"Name","Component","Side","Centre X","Centre Y","Rotation"
"R13","0.25Wresistor","Top","10390","12475","0.00"
"R14","0.25Wresistor","Top","10390","12625","0.00"
"R15","0.25Wresistor","Top","10390","12775","0.00"
"R16","0.25Wresistor","Top","10390","12925","0.00"
"R17","0.25Wresistor","Top","10390","13075","0.00"
"R1","0.125Wresistor","Top","10563","10713","0.00"
"R2","0.125Wresistor","Top","8325","9085","90.00"
"R3","0.125Wresistor","Top","8940","11865","90.00"
"SW1","B3F-1050","Top","8625","9060","180.00"
"C11","Capacitor","Top","8785","12475","0.00"
"C13","Capacitor","Top","8785","12625","0.00"
"C14","Capacitor","Top","8785","12775","0.00"
"C15","Capacitor","Top","8785","12925","0.00"
"C3","Ceramic","Top","9825","10475","90.00"
"C4","Ceramic","Top","9825","10238","270.00"
"C5","Ceramic","Top","10550","10495","270.00"
"C6","Ceramic","Top","10365","10200","0.00"
"C7","Ceramic","Top","9763","10663","180.00"
"C8","Ceramic","Top","10050","10200","0.00"
"C9","Ceramic","Top","9980","10840","90.00"
"J2","Header2","Top","11900","11075","270.00"
"J1","JTAG","Top","9945","11727","180.00"
"D1","LEDT1.75","Top","8725","11924","180.00"
"U1","LM3S811","Top","10139","10513","0.00"
"U2","LM2937ET-3.3","Top","10885","12065","0.00"
"U4","LM4041","Top","8485","12530","0.00"
"J6","LogicAnalyzer","Top","7365","12035","0.00"
"Box1","Mammond1593Y","Top","9733","10438","0.00"
"U5","MC34119","Top","9245","12625","0.00"
"J3","Speaker","Top","9840","12505","0.00"
"C2","tantalum","Top","11355","11720","0.00"
"C10","tantalum","Top","9738","10775","180.00"
"C12","tantalum","Top","11930","10670","0.00"
"GND","testpoint","Top","8045","9030","0.00"
"TP1","testpoint","Top","12535","10670","0.00"
"TP2","testpoint","Top","11940","10415","0.00"
"U6","TLV5618","Top","11100","12625","0.00"
"Y1","XTAL","Top","9675","10363","90.00"
